question	sent_idx	sentence	reasons	markers	nums_before	nums_after
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	10	Wait, 16 minus 3 is 13, then 13 minus 4 is 9.	explicit_markers,numeric_revision	Wait	16 2 3 4 7 9	13 16 3 4 9
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	17	But let me check again.	contrastive_revision		13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	25	"Wait, the original question says: ""彼女は毎日市場でいくら手に入れていますか？"""	explicit_markers	Wait	13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	28	But maybe there's a trick here?	contrastive_revision		13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	32	But maybe the question is asking about total income?	contrastive_revision		13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	44	But maybe the currency is different?	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	49	But maybe the question is asking for yen?	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	54	The problem is in Japanese, but the price is given in dollars, so probably the answer is in dollars.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	58	But let me just check again.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	64	"But since the problem gives the price as ""2ドル"", maybe I should write it in Japanese?"	contrastive_revision		1 13 16 18 2 3 4 7 9	2
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	69	But since the question is in Japanese, but the answer might need to be in English?	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	70	Wait, no, the user is asking for the answer, and the problem is in Japanese, so maybe the answer should be in Japanese?	explicit_markers	Wait,should be	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	72	Wait, the user is probably expecting the answer in English, but since the problem is presented in Japanese, maybe the answer can be in either.	explicit_markers,contrastive_revision	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	73	"But the question is ""彼女は毎日市場でいくら手に入れていますか？"" which is Japanese, so maybe the answer should be in Japanese?"	explicit_markers,contrastive_revision	should be	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	75	But the user is probably expecting a numerical answer.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	77	The problem is presented in Japanese, but the user is probably expecting an answer in the same format as the problem.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	78	"Since the price is given as ""2ドル"", the answer should be ""18ドル"" or ""18 dollars""."	explicit_markers	should be	1 13 16 18 2 3 4 7 9	18 2
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	79	But the question is in Japanese, so maybe the answer should be in Japanese.	explicit_markers,contrastive_revision	should be	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	84	"But since the user is probably expecting an answer in the same format as the problem, which uses numbers, so ""18ドル"" is appropriate."	contrastive_revision		1 13 16 18 2 3 4 7 9	18
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	85	But the user might want the answer in English.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	86	Wait, the user is Chinese, but the problem is in Japanese.	explicit_markers,contrastive_revision	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	87	Wait, no, the user is probably Japanese.	explicit_markers	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	88	Wait, the problem is presented in Japanese, so the answer should be in Japanese.	explicit_markers	Wait,should be	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	89	But the user is asking for the answer here, so maybe they need the answer in English.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	90	Wait, no, the user is Japanese, because the problem is in Japanese.	explicit_markers	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	91	Wait, the user is the one who's asking, and the problem is in Japanese, so maybe the answer should be in Japanese.	explicit_markers	Wait,should be	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	92	But the user might need the answer in English.	contrastive_revision		1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	93	Wait, the problem is presented in Japanese, but the user is probably expecting an English translation.	explicit_markers,contrastive_revision	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	94	Wait, no, the user is Chinese, but the problem is in Japanese.	explicit_markers,contrastive_revision	Wait	1 13 16 18 2 3 4 7 9	
ジャネットのアヒルは1日に16個の卵を生みます。ジャネットは毎朝朝食の一環で3個を消費し、毎日4個使って友達向けにマフィンを焼きます。残りを市場で1個あたり2ドルの価格で売ります。彼女は毎日市場でいくら手に入れていますか？	95	Wait, no, the user is whoever is reading this, but the problem is in Japanese, so maybe the answer should be in Japanese.	explicit_markers,contrastive_revision	Wait,should be	1 13 16 18 2 3 4 7 9	
