question	sent_idx	sentence	reasons	markers	nums_before	nums_after
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	4	Wait, per day?	explicit_markers	Wait	16	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	6	"But wait, does it say ""each"" duck?"	explicit_markers,contrastive_revision	wait	16	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	10	"In Russian, ""по 16"" can sometimes mean each, but maybe here it's total."	contrastive_revision		16	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	11	Wait, but the next part says she eats three every morning and uses four for baking.	explicit_markers,contrastive_revision	Wait	16	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	14	"Wait, the original problem in Russian: ""Утки Дженет несут по 16 яиц в день."	explicit_markers	Wait	16	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	22	Wait, so maybe the ducks collectively lay 16 eggs per day.	explicit_markers	Wait	16 2	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	29	But wait, let me make sure.	explicit_markers,contrastive_revision	wait	16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	39	But let me check again in case I missed something.	contrastive_revision		16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	44	But just to make sure, let's see if there's another way to interpret the problem.	contrastive_revision		16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	46	But that seems excessive.	contrastive_revision		16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	47	Wait, ducks don't lay that many eggs.	explicit_markers	Wait	16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	51	"The word ""по"" can sometimes indicate each, but in this context, maybe it's the total."	contrastive_revision		16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	53	So maybe the problem is phrased with a mistake, but given the numbers, if we take it as 16 total eggs per day, then the rest of the logic follows.	contrastive_revision		1 16 18 2 3 4 7 9	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	54	"Alternatively, maybe ""по 16"" means each, so each duck lays 16 eggs, but that's not possible."	contrastive_revision		1 16 18 2 3 4 7 9	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	56	Wait, but the user provided the problem in Russian and then asked for the answer.	explicit_markers,contrastive_revision	Wait	1 16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	63	"Alternatively, if ""по 16"" means each duck lays 16 eggs, but that's not feasible, so probably the first interpretation is correct."	contrastive_revision		1 16 18 2 3 4 7 9	16
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	65	But let me check again.	contrastive_revision		1 16 18 2 3 4 7 9	
Утки Дженет несут по 16 яиц в день. Она ест три на завтрак каждое утро и печет кексы для своих друзей каждый день, используя четыре. Остаток она каждый день продает на фермерском рынке по 2 $ за свежее утиное яйцо. Сколько в долларах она зарабатывает на фермерском рынке каждый день?	74	So the answer should be 18 dollars per day.	explicit_markers	should be	1 16 18 2 3 4 7 9	18
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	11	Wait, but let me check again.	explicit_markers,contrastive_revision	Wait	1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	17	But maybe there's a trick here?	contrastive_revision		1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	19	Sometimes problems like this might have wording that could be misinterpreted, but in this case, it seems pretty clear.	contrastive_revision		1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	24	Wait, no, the question is about the number of skeins, not the length.	explicit_markers	Wait	1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	28	But maybe the problem is per bathrobe, and they are asking for the total?	contrastive_revision		1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	29	Wait, the problem doesn't specify multiple bathrobes.	explicit_markers	Wait	1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	38	But maybe I'm oversimplifying?	contrastive_revision		1 2 3	
Для халата требуется 2 мотка синей пряжи и вполовину меньше белой пряжи. Сколько всего мотков требуется?	39	Wait, let me check again.	explicit_markers	Wait	1 2 3	
